id accelx accely accelz gyrox gyroy gyroz magnx magny magnz accel2x accel2y accel2z flightstatus errors ts rssi snr frequencyError
13856 -3 1 -9 -3 397 -4523 -263 95 566 73 -45 -247 LAUNCHPAD GPS 1930527 -81 7 -7843
13857 3 1 -4 767 -151 -4926 -274 108 566 -57 15 -307 LAUNCHPAD GPS 1930627 -81 7 -7843
13858 -9 -4 -8 -142 -312 -5177 -297 113 581 -7 -41 -240 LAUNCHPAD GPS 1930727 -82 7 -7860
13859 -6 -6 -14 217 230 -5237 -310 132 560 13 -4 -533 LAUNCHPAD GPS 1930828 -81 7 -7860
13860 5 -1 -13 434 82 -5103 -326 143 569 43 25 -349 LAUNCHPAD GPS 1930927 -80 7 -7860
13861 -4 -6 9 320 -208 -5146 -333 166 571 -138 -11 -393 LAUNCHPAD GPS 1931027 -80 7 -7876
13862 -1 1 -6 -309 -461 -4996 -338 184 568 -50 8 -212 LAUNCHPAD GPS 1931127 -80 8 -7876
13863 -3 1 1 149 -468 -4600 -347 188 567 5 42 -279 LAUNCHPAD GPS 1931227 -81 8 -7893
13864 4 -1 -7 487 202 -4505 -351 211 563 -47 -13 -260 LAUNCHPAD GPS 1931327 -79 8 -7893
13865 -2 -1 -15 -182 -143 -4897 -344 233 569 -28 53 -367 LAUNCHPAD GPS 1931428 -80 8 -7876
13866 -2 0 5 312 177 -4644 -338 261 568 11 -14 -338 LAUNCHPAD GPS 1931527 -80 8 -7893
13867 -2 -3 -3 807 374 -4630 -340 271 573 -79 -29 -264 LAUNCHPAD GPS 1931628 -80 8 -7893
13868 2 4 -15 -195 -320 -4378 -319 297 557 -40 11 -294 LAUNCHPAD GPS 1931727 -82 7 -7893
13869 -1 0 -1 202 271 -4384 -321 315 559 39 100 -397 LAUNCHPAD GPS 1931827 -80 7 -7893
13870 -1 2 4 245 345 -4449 -295 320 557 -77 -65 -260 LAUNCHPAD GPS 1931928 -81 7 -7910
13871 1 -1 -5 219 305 -4516 -289 340 558 -27 -35 -519 LAUNCHPAD GPS 1932027 -82 7 -7910
13872 -1 -1 1 578 148 -4283 -261 353 566 -52 -15 -315 LAUNCHPAD GPS 1932127 -81 7 -7910
13873 0 2 -3 349 -72 -4419 -242 363 539 -64 9 -376 LAUNCHPAD GPS 1932227 -81 6 -7910
13874 2 -4 -3 8 459 -4492 -234 368 547 -61 53 -298 LAUNCHPAD GPS 1932328 -81 7 -7927
13875 -1 1 3 38 502 -4133 -222 367 548 -32 6 -339 LAUNCHPAD GPS 1932427 -80 7 -7944
13876 0 2 3 263 257 -4143 -199 388 545 -5 43 -171 LAUNCHPAD GPS 1932528 -82 7 -7927
13877 -1 -2 1 495 328 -4257 -183 368 544 -72 -31 -345 LAUNCHPAD GPS 1932628 -81 7 -7927
13878 -3 2 -6 116 306 -4283 -155 381 539 -68 32 -251 LAUNCHPAD GPS 1932727 -80 7 -7944
13879 3 2 9 -88 308 -4116 -139 373 542 -26 4 -285 LAUNCHPAD GPS 1932827 -81 7 -7944
13880 -1 4 2 149 286 -4011 -126 365 537 -27 15 -258 LAUNCHPAD GPS 1932928 -81 7 -7944
13881 -3 -1 1 144 634 -4187 -108 363 532 -40 21 -228 LAUNCHPAD GPS 1933027 -80 7 -7944
13882 -3 2 -10 391 863 -4146 -92 348 538 -16 -81 -401 LAUNCHPAD GPS 1933127 -81 7 -7960
13883 0 -1 -1 -35 530 -4033 -89 343 528 -70 -42 -453 LAUNCHPAD GPS 1933228 -81 7 -7960
13884 0 2 -3 -330 50 -3694 -64 327 528 27 -7 -248 LAUNCHPAD GPS 1933327 -80 7 -7960
13885 -1 0 -12 26 34 -3600 -49 307 529 28 28 -419 LAUNCHPAD GPS 1933428 -80 8 -7960
13886 -6 -3 3 260 677 -4113 -61 298 535 -68 1 -266 LAUNCHPAD GPS 1933528 -82 7 -7977
13887 0 2 -6 -209 916 -3885 -34 289 514 -10 -5 -224 LAUNCHPAD GPS 1933627 -81 7 -7977
13888 -1 -2 -5 -255 232 -3798 -24 262 524 1 32 -408 LAUNCHPAD GPS 1933727 -81 7 -7977
13889 1 -2 2 -193 218 -3983 -19 238 529 -34 -6 -270 LAUNCHPAD GPS 1933827 -81 7 -7977
13890 -3 -2 0 -324 289 -3643 -28 224 530 -15 34 -378 LAUNCHPAD GPS 1933927 -81 6 -7994
13891 -5 -1 -4 -642 538 -3908 -19 202 527 -56 34 -226 LAUNCHPAD GPS 1934028 -83 6 -7977
13892 -5 0 -3 -206 390 -3803 -28 182 528 -10 -15 -302 LAUNCHPAD GPS 1934127 -82 6 -7994
13893 -5 2 -2 -28 485 -3613 -32 157 519 -20 -7 -327 LAUNCHPAD GPS 1934228 -83 7 -7994
13894 -2 0 -10 -195 334 -3706 -35 137 513 -39 -45 -254 LAUNCHPAD GPS 1934327 -83 7 -7994
13895 -2 -1 2 -346 114 -3653 -44 117 511 -9 32 -184 LAUNCHPAD GPS 1934427 -83 8 -7994
13896 1 -2 1 -359 436 -3460 -62 99 519 -82 -4 -206 LAUNCHPAD GPS 1934527 -84 8 -7994
13897 1 -1 -5 -792 369 -3545 -80 80 529 8 -25 -82 LAUNCHPAD GPS 1934628 -86 7 -7994
13898 -1 1 -2 -504 -3 -3500 -88 62 504 17 -22 -240 LAUNCHPAD GPS 1934727 -86 6 -8011
13899 -3 1 -1 -84 -136 -3569 -99 60 513 -34 -9 -238 LAUNCHPAD GPS 1934827 -86 6 -8011
13900 1 1 -9 -114 277 -3259 -106 48 519 -46 35 -130 LAUNCHPAD GPS 1934928 -89 6 -8044
13901 -2 -2 -1 -477 388 -3389 -128 47 518 -56 2 -109 LAUNCHPAD GPS 1935027 -90 6 -8011
13902 -2 -1 -7 -576 32 -3444 -148 29 518 3 -15 -204 LAUNCHPAD GPS 1935128 -91 6 -8027
13903 0 -2 3 -476 -257 -3188 -165 17 511 -32 24 -122 LAUNCHPAD GPS 1935227 -89 7 -8027
13904 -2 -2 -3 -165 55 -3213 -184 13 513 4 -1 -318 LAUNCHPAD GPS 1935327 -88 6 -8027
13905 0 0 -6 -177 383 -3176 -199 7 510 -65 -30 -317 LAUNCHPAD GPS 1935427 -89 7 -8027
